id-destination,id-parent-destination,nom-destination
1,NULL,exploitation_agricole_forestiere
2,NULL,habitation
3,NULL,commerce_et_activite_service
4,NULL,equipement_interet_collectif_et_services_publics
5,NULL,autre_activite_secteur_secondaire_tertiaire
6,1,exploitation_agricole
7,1,exploitation_forestiere
8,2,logement
9,2,hebergement
10,3,artisanat_et_commerce_detail
11,3,restauration
12,3,commerce_gros
13,3,activite_service_accueil_clientele
14,3,hebergement_hotelier_touristique
15,3,cinema
16,4,locaux et bureaux accueillant du public des administrations publiques et assimilés
17,4,locaux techniques et industriels des administrations publiques et assimilés
18,4,"établissements d'enseignement, de santé et d'action sociale"
19,4,salles d'art et de spectables
20,4,équipements sportifs
21,4,autres équipements recevant du public
22,5,industrie
23,5,entrepôt
24,5,bureau
25,5,centre de congrès et d'exposition