id-loi,reference-article,branche,sujet-loi,lien
1,4 août 2006,Arrêté ministériel,Transport de gaz,https://www.legifrance.gouv.fr
2,(modifié) n°2011-1241 du 5 octobre 2011,Décret,Procédure DT/DICT,https://www.legifrance.gouv.fr
3,L.123-1-5 IV 1°,Code de l'urbanisme,Sentes et itinéraires,https://www.legifrance.gouv.fr
4,R. 111-2,Code de l'urbanisme,NULL,https://www.legifrance.gouv.fr
5,R. 111-4,Code de l'urbanisme,NULL,https://www.legifrance.gouv.fr
6,R. 111-5,Code de l'urbanisme,NULL,https://www.legifrance.gouv.fr
7,R. 111-21,Code de l'urbanisme,NULL,https://www.legifrance.gouv.fr
8,L. 111-10,Code de l'urbanisme,Périmètre des travaux publics,https://www.legifrance.gouv.fr
9,L. 111-9,Code de l'urbanisme,Pérmètres de déclaration d'utilité publique,https://www.legifrance.gouv.fr
10,L. 421-4,Code de l'urbanisme,Pérmètres de déclaration d'utilité publique,https://www.legifrance.gouv.fr
11,L. 421-5,Code de l'urbanisme,Réalisation des réseaux,https://www.legifrance.gouv.fr
12,L. 111-1-4,Code de l'urbanisme,Routes à grande circulation,https://www.legifrance.gouv.fr
13,21 août 2008,Arrêté,Récupération des eaux de pluie et leur usage à l’intérieur et à l’extérieur des bâtiments,https://www.legifrance.gouv.fr
14,L. 123-1-5 V,Code de l'urbanisme,"Emplacements réservés aux voies et ouvrages publics, aux installations d'intérêt général et aux espaces verts",https://www.legifrance.gouv.fr
15,L.123-1-5 III 2°,Code de l'urbanisme,Protection des alignements d'arbre et d'arbres remarquables,https://www.legifrance.gouv.fr
16,R. 421-19,Code de l'urbanisme,Exploitation de carrières nécessitant des autorisations,https://www.legifrance.gouv.fr
17,R. 421-23,Code de l'urbanisme,Exploitation de carrières nécessitant des autorisations,https://www.legifrance.gouv.fr
18,L.123-1-5 II 5°,Code de l'urbanisme,Protection de la diversité commerciale et artisanale,https://www.legifrance.gouv.fr
19,L.123-1-5 II 4°,Code de l'urbanisme,Obligation de logements sociaux,https://www.legifrance.gouv.fr
20,Article 682,Code civil,Obtention de servitudes sur fond voisin,https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000006430276&cidTexte=LEGITEXT000006070721
21,L.130-1,Code de l'urbanisme,Dispositions relatives aux espaces boisés classés,https://www.legifrance.gouv.fr
22,R.123-10-1,Code de l'urbanisme,"Regroupement ou divisions de parcelles, lotissements",https://www.legifrance.gouv.fr
23,R. 442-1-a,Code de l'urbanisme,Division primaire,https://www.legifrance.gouv.fr
24,R. 431-24,Code de l'urbanisme,Permis de construire valant division,https://www.legifrance.gouv.fr
25,NULL,NULL,Normes de dessertes et sécurité des véhicules et des services publics,https://www.legifrance.gouv.fr
26,NULL,NULL,Prescriptions pour le raccordement aux réseaux collectifs,https://www.legifrance.gouv.fr
27,R.111-14-2,CCH,NULL,https://www.legifrance.gouv.fr
28,R.111-14-3,CCH,NULL,https://www.legifrance.gouv.fr
29,L. 130-1,Code de l'urbanisme,NULL,https://www.legifrance.gouv.fr