id_txt,txt,loi
1,"<div class=""txt"">Le présent Plan Local d’Urbanisme s'applique à l'ensemble du territoire communal de Sèvres.<br/><br/></div>",NULL
2,"<div class=""txt""> La commune de Sèvres est concernée par trois canalisations sous pression de matières dangereuses, réglementées par un arrêté ministériel en date du 4 août 2006 (voir la fiche d’information et la carte des canalisations de gaz, annexées au PLU).<br/><br/></div>",NULL
3,"<div class=""txt"">Dans la zone d’interdiction reportée sur le document graphique n°1 sont interdits :<ul><li>les constructions et installations nécessaires au fonctionnement du service public ou d’intérêt collectif recevant plus de 100 personnes ;</li><li>les immeubles de grande hauteur.</li></ul><br/></div>",20
4,"<div class=""txt""> Dans la zone intermédiaire reportée sur le document graphique, l’aménageur ou le constructeur de chaque projet devra s’assurer que les conditions de sécurité sont suffisantes au regard des risques présentés. La mise en œuvre de mesures compensatoires destinées à réduire l’emprise de cette zone est à privilégier. Cependant, malgré la mise en place de mesures compensatoires et dans certaines conditions, la construction ou l’extension d’immeubles de grande hauteur ou de constructions et installations nécessaires au fonctionnement du service public ou d’intérêt collectif recevant plus de 100 personnes peut être interdite. La consultation des services de la DRIRE sera effectuée par la collectivité. Dans la zone justifiant une vigilance et une information, le transporteur sera informé de tout projet par la collectivité. <br/><br/></div>",NULL
5,"<div class=""txt""> Afin de prévenir les risques d’endommagement des canalisations de transport, les travaux doivent être conduits dans le respect de la procédure de DT/DICT définie par le Décret modifié n°2011-1241 du 5 octobre 2011. <br/><br/></div>",13
6,"<div class=""txt""> Toutes constructions et installations y compris les clôtures, portails et portillons sont interdites dans les sentes et itinéraires identifiés sur le document graphique n° 2 au titre de l’article L.123-1-5 IV1° du code de l’urbanisme afin d’assurer leur préservation. <br/><br/></div>",NULL
7,"<div class=""txt""> Sous réserve des dispositions du présent règlement, lorsqu'une construction existante n'est pas conforme aux dispositions applicables dans la zone où elle se situe, l'autorisation d'exécuter des travaux ne peut être accordée que pour des travaux qui n'aggravent pas la non-conformité de la construction avec ces dispositions, ou qui sont sans effet à leur égard. <br/><br/></div>",NULL
8,"<div class=""txt""> Le règlement du PLU définit les règles d’occupation du sol. Toutefois, s’appliquent en plus et indépendamment du présent règlement, les articles R. 111-2, R. 111-4, R. 111-15 et R. 111-21 du code de l’urbanisme. </div>",9
9,"<div class=""txt""> Par ailleurs, sont et demeurent applicables sur le territoire communal, les dispositions du code de l’urbanisme suivantes : <ul><li>l’article L. 111-10 relatif aux périmètres de travaux publics ;</li><li>les articles L. 111-9 et L. 421-4 relatifs aux périmètres de déclaration d’utilité publique ;</li><li>l’article L. 421-5 relatif à la réalisation de réseaux ;</li><li>l’article L. 111-1-4 relatif aux routes à grande circulation.</li></ul></div>",NULL
10,"<div class=""txt""> Aux règles énoncées par le présent PLU s’ajoutent : <ul><li>les servitudes d’utilité publique qui font l’objet d’un plan et d’une notice annexés au présent dossier de PLU, notamment le plan de prévention des risques d’inondation (PPRI) et les risques liés à la présence d’anciennes carrières.</li><li>es périmètres de droit de préemption urbain instaurés par délibération du conseil municipal annexée au présent PLU.</li></ul></div>",NULL
11,"<div class=""txt""> Les prescriptions prises au titre des autres législations spécifiques concernant l’occupation ou l’utilisation des sols s’ajoutent aux règles propres au PLU. </div>",NULL
12,"<div class=""txt""> Au titre de la règlementation sur l’archéologie préventive, toute découverte fortuite de vestiges susceptibles de présenter un caractère archéologique doit faire l’objet d’une déclaration immédiate au maire. </div>",NULL
13,"<div class=""txt""> Les dispositifs de réutilisation des eaux pluviales à usage domestique devront être conformes à la règlementation en vigueur (arrêté du 21 août 2008 relatif à la récupération des eaux de pluie et à leur usage à l’intérieur et à l’extérieur des bâtiments). </div>",NULL
14,"<div class=""txt""> Le surplomb du domaine public par des constructions nécessite une autorisation délivrée par l’autorité gestionnaire du domaine public en application des dispositions du code de la voirie routière et de celles du code de la construction et de l’habitation. </div>",NULL
15,"<div class=""txt""> La SNCF doit être consultée pour toutes les demandes de permis de construire ou de permis d’aménager jouxtant la plate-forme ferroviaire. </div>",NULL
16,"<div class=""txt""> Le territoire couvert par le Plan Local d’Urbanisme est divisé en zones urbaines et zones naturelles. <br/><br/></div>",NULL
17,"<div class=""txt""> Les zones urbaines, auxquelles s'appliquent les dispositions du présent règlement, sont repérées sur le document graphique n°1 par un indice commençant par la lettre U. <br/><br/></div>",NULL
18,"<div class=""txt""> Ce sont les zones : <ul><li>UCV : centre-ville ;</li><li>UR : zone résidentielle ;</li><li>UAE : zone à vocation d’activités économiques et d’équipements.</li></ul><br/></div>",NULL
19,"<div class=""txt""> Les zones naturelles et forestières, auxquelles s’appliquent les dispositions du présent règlement, sont repérées sur le document graphique n°1 par l’indice N. <br/><br/></div>",NULL
20,"<div class=""txt""> N : zone naturelle et forestière. <br/><br/></div>",NULL
21,"<div class=""txt""> Les emplacements réservés aux voies et ouvrages publics, aux installations d'intérêt général et aux espaces verts au titre de l’article L.123-1-5 V du code de l’urbanisme sont inscrits dans les documents graphiques n°1 et n°3. <br/><br/></div>",NULL
22,"<div class=""txt""> Les terrains classés comme espaces boisés classés au titre de l’article L.130-1 du code de l’urbanisme sont identifiés sur les documents graphiques n°1et n°2. <br/><br/></div>",NULL
23,"<div class=""txt""> Les alignements d’arbres et les arbres remarquables à protéger, le bâti et les espaces publics remarquables à protéger au titre de l’article L.123-1-5 III 2° du code de l’urbanisme sont identifiés sur le document graphique n°2. <br/><br/></div>",NULL
24,"<div class=""txt""> Trois orientations d’aménagement et de programmation complètent les dispositions réglementaires sur certains secteurs de la ville : <ul><li>le centre-ville ;</li><li>les berges de la Seine ;</li><li>le quartier des Bruyères.</li></ul><br/></div>",NULL
25,"<div class=""txt""> La zone UCV correspond au centre-ville de Sèvres. Multifonctionnelle, elle accueille de l'habitat, des services et des activités économiques de centre-ville, tels que des commerces, des bureaux, des services publics et privés. Les commerces et services doivent pouvoir s’y développer en complément des équipements publics et des logements. <br/><br/></div>",NULL
26,"<div class=""txt""> Largement bâtie, elle présente deux catégories de formes urbaines, qui font l’objet de deux secteurs : <ul><li>Secteur UCV1 : ilots correspondant au bâti ancien traditionnel de centre-ville,</li><li>Secteur UCV2 : ilots déjà largement bâtis, issus de la rénovation urbaine ou accueillant des constructions édifiées récemment, dont les formes urbaines sont très structurées et la densité importante. Un sous-secteur UCV2a, où la hauteur des constructions est réduite, a été identifié.</li></ul><br/></div>",NULL
27,"<div class=""txt""> Sont interdits : <ul><li>Les bâtiments à destination d’exploitation agricole ;</li><li>L’aménagement de terrain de camping et de caravaning ;</li><li>Les dépôts de ferrailles, matériaux, véhicules désaffectés, combustibles solides ou liquides, déchets (tels que pneus usés, vieux chiffons, ordures), ainsi que les entreprises de cassage de voitures ;</li><li>Les exhaussements et affouillements du sol à l’exception de ceux indispensables pour la réalisation des types d’occupation ou d’utilisation du sol autorisés ;</li> Les exploitations de carrières, nécessitant une autorisation au titre des articles R. 421-19 et R.421-23 du code de l’urbanisme ; <li>Les constructions à destination industrielle et les entrepôts ;</li></ul><br/></div>",NULL
28,"<div class=""txt""> Au titre de l’article L.123-1-5 II 5° du code de l’urbanisme, la Grande Rue (entre le n°60 et le n°120 côtés pair et impair) et la rue Pierre Midrin sont identifiées comme axes le long desquels la diversité commerciale et artisanale doit être protégée. Le long de ces axes, est interdit le changement de destination des locaux commerciaux et des locaux artisanaux existants situés à rez-de-chaussée en une destination autre que le commerce et l’artisanat. <br/><br/></div>",NULL
29,"<div class=""txt""> Sont également admises sous conditions, les occupations et utilisations du sol suivantes : <ul><li>Au titre de l’article L.123-1-5 II 4° du code de l’urbanisme, les opérations de construction de logements comportant plus de 400 m2 de surface de plancher et/ou au moins 10 logements, doivent comporter au minimum 25% de logements locatifs sociaux, calculés sur le nombre total de logements.</li><li>Dans la lisière de 10 mètres mesurée à partir de la limite des massifs boisés identifiés sur le document graphique n°1, sont uniquement autorisées les annexes dont l’emprise au sol totale n’excède pas 15 m2, et dont la hauteur maximale est limitée à 3,50 mètres, mesurée conformément à l’article UCV 10-1.</li></ul><br/></div>",NULL
30,"<div class=""txt""> Pour être constructible ou aménageable, un terrain doit être accessible par une voie carrossable publique ou privée en bon état de viabilité, soit directement, soit, le cas échéant, par l’intermédiaire d’une servitude de passage sur fonds voisin, consentie ou obtenue par l’application de l’article 682 du code civil. <br/><br/></div>",NULL
31,"<div class=""txt""> La voie d’accès doit être de dimension suffisante compte tenu de la topographie et de la morphologie des lieux, de la nature des voies sur lesquelles elle débouche (intensité du trafic, visibilité, vitesse, alignements d’arbres sur la voie publique et autres espaces verts, dispositifs de signalisation, d’éclairage public et de support de réseaux...), du nombre, de la nature et de l’affectation des constructions existantes et des constructions projetées ou de la surface de plancher projetée, et du trafic engendré par la ou les nouvelles constructions. <br/><br/></div>",NULL
32,"<div class=""txt""> La voie d’accès doit satisfaire aux normes de desserte et de sécurité des véhicules des services publics (secours, défense incendie, collecte des déchets ménagers, etc.). <br/><br/></div>",NULL
33,"<div class=""txt""> En cas de construction de moins de trois logements, les sentes piétonnes et escaliers sont considérés comme des dessertes suffisantes. <br/><br/></div>",NULL
34,"<div class=""txt""> L’accès doit être aménagé de façon à permettre l’entrée et la sortie des véhicules sans manœuvre sur la voie de desserte. Les accès doivent satisfaire aux normes de desserte et de sécurité des véhicules des services publics (secours, défense incendie, collecte des déchets ménagers, etc.). <br/><br/></div>",NULL
35,"<div class=""txt""> La création d’accès (nombre et positionnement) devra être limitée à ce qui est strictement nécessaire pour desservir une ou des constructions, compte tenu du nombre de logements desservis. Lorsque le terrain est desservi par plusieurs voies, le nombre d’accès et leur positionnement devront être établis là où la gêne pour la circulation sera la moins importante. <br/><br/></div>",NULL
36,"<div class=""txt""> Dans le cas d’un accès sous porche, la hauteur libre ne doit pas être inférieure à 5 mètres. <br/><br/></div>",NULL
37,"<div class=""txt"">  Si le chemin d’accès est destiné à desservir moins de 10 logements, l’emprise du chemin d’accès doit avoir une largeur minimum de 3 mètres sur toute la longueur. </div>",NULL
38,"<div class=""txt"">  Si le chemin d’accès est destiné à desservir au moins 10 logements et pour tous les autres types de constructions autorisés dans cette zone :  <ul><li>l'emprise du chemin d’accès créé doit avoir une largeur minimum de 4 mètres sur toute sa longueur.</li><li>les chemins d’accès doivent satisfaire aux normes de desserte et de sécurité des véhicules des services publics (secours, défense incendie, collecte des déchets ménagers, etc.).</li><li>les chemins d’accès nouveaux se terminant en impasse doivent comporter un aménagement permettant aux véhicules de faire demi-tour à leur extrémité, notamment aux véhicules de ramassage des ordures ménagères, s’ils doivent y accéder pour la collecte, et aux véhicules de secours.</li></ul></div>",NULL
39,"<div class=""txt""> Le raccordement aux réseaux publics d’eau potable, d’électricité et d’assainissement est obligatoire. <br/><br/></div>",NULL
40,"<div class=""txt""> L’alimentation des constructions en eau potable doit se faire par le raccordement au réseau collectif de distribution dans le respect des prescriptions en vigueur. <br/><br/></div>",NULL
41,"<div class=""txt""> A l’intérieur d’un même terrain, les eaux usées et les eaux pluviales doivent être recueillies séparément, chacune dans un regard situé en limite de terrain. <br/><br/></div>",NULL
42,"<div class=""txt""> Les installations d’assainissement doivent être réalisées dans le respect des prescriptions en vigueur. <br/><br/></div>",NULL
43,"<div class=""txt"">  Les eaux usées domestiques doivent être collectées et évacuées, directement et sans stagnation, vers le réseau d’assainissement. La canalisation de raccordement au réseau public d’assainissement doit être équipée d’un dispositif de protection contre le reflux des eaux d’égout.  </div>",NULL
44,"<div class=""txt"">  Les eaux usées non domestiques peuvent être raccordées au réseau public d’assainissement dans le respect des prescriptions en vigueur. Avant rejet dans le réseau public d’assainissement, les eaux usées non domestiques peuvent être amenées à subir un prétraitement, dans le respect des prescriptions en vigueur.  </div>",NULL
45,"<div class=""txt"">  Les eaux pluviales doivent dans toute la mesure du possible être retenues et infiltrées ou réutilisées sur le terrain d’assiette du projet. Les techniques alternatives de gestion des eaux pluviales seront privilégiées : infiltration sur l’unité foncière, stockage et réutilisation pour des usages domestiques, conformément à la réglementation en vigueur et sous réserve de la prise en compte des contraintes particulières liées à la présence d’argiles et à l’existence d’anciennes carrières souterraines (Cf. annexes du présent PLU). A défaut, les eaux pluviales doivent être régulées sur le terrain afin de limiter le débit de leur rejet dans le réseau public à 2 litres par seconde et par hectare.  </div>",NULL
46,"<div class=""txt"">  L’impact de tout rejet ou infiltration peut nécessiter un pré-traitement des eaux notamment à l’exécutoire des aires de stationnement, dans le respect des prescriptions en vigueur.  </div>",NULL
47,"<div class=""txt""> Les réseaux divers de distribution d’énergie ou de service (eau, gaz, électricité, téléphone, etc.) doivent être souterrains. En cas d’impossibilité technique, ils peuvent être ancrés aux façades d’immeubles. <br/><br/></div>",NULL
48,"<div class=""txt""> Les projets de construction doivent prévoir un local ou un emplacement spécifique pour le stockage des containers à déchets ménagers hors des voies ou emprises publiques. <br/><br/></div>",NULL
49,"<div class=""txt""> Sans objet. <br/><br/></div>",NULL
50,"<div class=""txt""> Les constructions peuvent être implantées soit à l’alignement actuel ou futur des voies ou en limite actuelle ou future des emprises publiques, soit en retrait. En cas de retrait, la marge minimum de retrait est fixée à 3 mètres de l’alignement actuel ou futur des voies ou de la limite actuelle ou future des emprises publiques. <br/><br/></div>",NULL
51,"<div class=""txt""> En secteur UCV1 et UCV2, les constructions situées sur les terrains dont l’alignement est identifié sur le document graphique n°1 par un trait plein doivent être implantées à l’alignement actuel ou futur des voies ou emprises publiques. </div>",NULL
52,"<div class=""txt""> En secteur UCV2, les constructions situées sur un terrain dont l’alignement est identifié sur le document graphique n°1 par un trait en pointillé doivent être implantées en retrait de 3 mètres des voies ou emprises publiques. </div>",NULL
53,"<div class=""txt""> Sont autorisés sur les voies et emprises publiques : <ul><li>  les saillies à l’alignement, sous réserve de respecter les conditions cumulatives suivantes :  <ul><li>de porter sur des voies ou emprises d’une largeur supérieure à 8 mètres ;</li><li>de ne pas dépasser 1,2 mètres ;</li><li>d’être situées à 5,5 mètres au moins du sol ;</li></ul></li><li>les travaux d’isolation permettant l’amélioration de la performance énergétique du bâtiment, réalisés sur une construction existante à la date d’approbation du présent règlement du PLU (18/12/2015), en saillie par rapport à l’alignement.</li></ul><br/> Les saillies à l’alignement ne sont toutefois autorisées sur les voies et emprises publiques classées dans le domaine public d’une entité autre que la collectivité, que sous réserve d’un accord de l’autorité gestionnaire de ce domaine public. </div>",NULL
54,"<div class=""txt""> Sont autorisés dans les marges de retrait définies au paragraphe 6.1 : <ul><li>les saillies, à condition qu'elles ne dépassent pas 1,2 mètres et qu'elles soient situées à 5,5 mètres au moins du sol ;</li><li>les travaux d'isolation permettant l’amélioration de la performance énergétique du bâtiment, réalisés sur une construction existante à la date d’approbation du présent règlement du PLU (18/12/2015);</li><li>les accès des bâtiments : perrons, escaliers, passerelles piétonnes, marquises, rampes d’accès au garage et dispositifs permettant ou favorisant l’accessibilité des constructions aux personnes en situation de handicap.</li></ul></div>",NULL
55,"<div class=""txt""> Pour les terrains situés à l’angle de deux voies, peut être imposé un alignement nouveau constitué par un segment de droite de 5 mètres de longueur, formant des angles égaux avec chacun des alignements des voies adjacentes, afin d'assurer un traitement urbain cohérent. Par rapport à ce pan coupé, la marge de retrait définie au paragraphe 6-1 doit être respectée. </div>",NULL
56,"<div class=""txt""> Les constructions et installations nécessaires aux services publics ou d’intérêt collectif peuvent s’implanter à l’alignement ou en retrait des voies et emprises publiques. En cas de retrait, la marge minimum est fixée à 2 mètres. </div>",NULL
57,"<div class=""txt""> Dans le secteur UCV 1 <ul><li>Les constructions situées en façade sur rue doivent être implantées obligatoirement de mitoyen à mitoyen sur les limites séparatives latérales sur une profondeur de 14 à 16 mètres calculée à partir de l’alignement.</li><li>Au-delà de cette profondeur, les constructions peuvent être implantées sur les limites séparatives, ou en retrait de ces limites.</li><li>Dans tous les cas, si la limite séparative correspond à une limite avec la zone UR 2, les constructions doivent être implantées obligatoirement en retrait, conformément à l’article 7.1.3.</li></ul></div>",NULL
58,"<div class=""txt""> Dans le secteur UCV 2 <ul><li>Les constructions peuvent être implantées sur les limites séparatives ou en retrait, conformément à l’article 7.1.3.</li><li>Toutefois, si la limite séparative correspond à une limite avec la zone UR 2, les constructions doivent être implantées obligatoirement en retrait. Cette dernière règle ne s’applique pas au sous-secteur UCV2a.</li></ul></div>",NULL
59,"<div class=""txt""> En cas d’implantation en retrait : <ul><li>d’une façade comportant des ouvertures créant des vues : la distance à la limite séparative, mesurée normalement et horizontalement en tout point de la façade (saillies et balcons exclus), doit être au moins égale à la moitié de la hauteur mesurée à l’égout du toit ou à l’acrotère de la façade (L=H/2), avec un minimum de 6 mètres.</li><li>d’une façade ne comportant pas d’ouverture, ou comportant des ouvertures ne créant pas de vues : la distance à la limite séparative, mesurée normalement et horizontalement en tout point de la façade (saillies et balcons exclus), doit être au moins égale à la moitié de la hauteur mesurée à l’égout du toit ou à l’acrotère de la façade (L=H/2), avec un minimum de 4 mètres.</li></ul></div>",NULL
60,"<div class=""txt""> Lorsque la limite séparative correspond à la limite de l’emprise d’une voie d’accès ouverte à la circulation des véhicules automobiles, sont appliquées les dispositions de l’article 6. </div>",NULL
61,"<div class=""txt""> Sont admis dans les marges de retrait définies au paragraphe 7.1.3 : <ul><li>les travaux d'isolation permettant l’amélioration de la performance énergétique du bâtiment réalisés sur une construction existante à la date d’approbation du présent règlement du PLU (18/12/2015) ;</li><li>les accès des bâtiments : perrons, escaliers, passerelles piétonnes, marquises, rampes d’accès au garage et les dispositifs permettant ou favorisant l’accessibilité des constructions aux personnes en situation de handicap.</li></ul></div>",NULL
62,"<div class=""txt""> Les piscines non couvertes exemptées de permis de construire au titre des articles R. 421-2 et R. 421-9 du code de l’urbanisme doivent respecter une marge de reculement telle que leur bassin soit situé à une distance au moins égale à 1,5 mètre de la limite séparative. </div>",NULL
63,"<div class=""txt""> Les constructions et installations nécessaires aux services publics ou d’intérêt collectif peuvent être implantées sur les limites séparatives, ou en retrait. En cas de retrait, la marge minimum de retrait est fixée à 2 mètres. </div>",NULL
64,"<div class=""txt""> Pour les murs pignons supportant des toitures à une ou deux pentes, la hauteur de la construction (H) au sens du présent article est mesurée depuis le sol naturel jusqu’au point médian situé entre le faîtage et l’égout du toit (l’égout le plus élevé en cas d’égouts multiples). </div>",NULL
65,"<div class=""txt""> La distance minimale entre deux constructions non contiguës, mesurée normalement et horizontalement en tout point de la façade, (saillies et balcons exclus), doit être au moins égale : <ul><li>à la hauteur de la façade la plus haute mesurée à l’égout du toit ou à l’acrotère (L=H), avec un minimum de 8 mètres si l’une des façades comporte des ouvertures créant des vues ;</li><li>à la moitié de la hauteur de la façade la plus haute mesurée à l’égout du toit ou à l’acrotère (L=H/2), sans pouvoir être inférieure à 4 mètres, si les façades ne comportent pas d’ouverture, ou comportent des ouvertures ne créant pas de vue.</li></ul><br/></div>",NULL
66,"<div class=""txt""> La plus courte distance entre deux constructions doit être au moins égale à 4 mètres. Pour les murs pignons supportant des toitures à une ou deux pentes, la hauteur de la construction (H) au sens du présent article est mesurée depuis le sol naturel jusqu’au point médian situé entre le faîtage et l’égout du toit (l’égout le plus élevé en cas d’égouts multiples). <br/><br/></div>",NULL
67,"<div class=""txt""> Cette règle ne s’applique pas aux constructions et installations nécessaires aux services publics ou d’intérêt collectif. <br/><br/></div>",NULL
68,"<div class=""txt""> L’emprise au sol des constructions ne peut excéder 80% de la superficie du terrain. <br/><br/></div>",NULL
69,"<div class=""txt""> Il n’est pas fixé de règle pour les constructions et installations nécessaires aux services publics ou d’intérêt collectif. <br/><br/></div>",NULL
70,"<div class=""txt""> Dans la zone UCV, la hauteur des constructions est mesurée verticalement en tout point de la construction par rapport au terrain naturel. </div>",NULL
71,"<div class=""txt""><ul><li>Dans les secteurs UCV1 et UCV2, la hauteur des constructions ne peut excéder 18 mètres au point le plus haut.</li><li>Lorsque la construction présente une ou plusieurs façades sur rue, y compris des façades situées en retrait par rapport à l’alignement mais visibles depuis la rue, la partie de la construction visible depuis la rue doit, à partir de points d’accroches fixés à 15 mètres, s’inscrire dans un gabarit ne dépassant pas un volume délimité par une oblique de pente de 2 pour 1 et une ligne horizontale plafond fixée à 18 mètres (cf. schéma ci-dessous).</li><li>En cas de toiture terrasse, le dernier étage des constructions, à partir de points d’accroche fixés à 15 mètres, doit être réalisé en attique avec un retrait minimum de 1,5 mètre au droit de la façade sur rue.</li></ul></div>",NULL
72,"<div class=""txt""><ul><li>Dans le sous-secteur UCV2a, la hauteur des constructions ne peut excéder 9 mètres à l'égout du toit, quel que soit le type de toiture, et 12 mètres au point le plus haut. La construction, à partir de points d’accroches fixés à 9 mètres, doit s’inscrire dans un gabarit ne dépassant pas un volume délimité par une oblique de pente maximum de 45° sur une profondeur de 3 mètres à compter de l’égout du toit (cf. schéma ci-contre).</li><li>  Dans le cas de toiture à la Mansart :  <br/>  La construction à partir de points d’accroches fixés à 9 mètres doit s’inscrire dans un gabarit ne dépassant pas un volume délimité par une oblique de pente de 60° sur une hauteur maximum de 2 mètres par rapport à l’égout du toit et au-delà par une oblique de pente maximum de 30° sur une hauteur maximum de 1 mètre. (cf. schéma ci-contre).  </li></ul></div>",NULL
73,"<div class=""txt""> Sur les terrains comportant au moins une façade sur rue identifiée sur le document graphique n°2 au titre de l’article L.123-1-5 III 2° du code de l’urbanisme : <ul><li>la hauteur au point le plus haut des constructions existantes situées à l’alignement doit être conservée ;</li><li>en l’absence de construction existante implantée à l’alignement, toute nouvelle construction implantée à l’alignement pourra s’insérer dans la limite de l’héberge existante la plus haute des constructions implantées à l’alignement sur les terrains voisins.</li></ul></div>",NULL
74,"<div class=""txt""> Ne sont pas comptées dans le calcul de la hauteur de la construction, les installations techniques sur terrasse, à condition qu’elles ne dépassent pas une hauteur de 3 mètres, qu’elles soient implantées en retrait des façades et des pignons d’une distance au moins égale à leur hauteur, ainsi que les souches de cheminées et de ventilation, les antennes (hormis les paraboles), les acrotères et les garde-corps ceinturant les toitures-terrasses. </div>",NULL
