id_loi,description,lien
1,"<div class=""loi"">Arrêté ministériel<br/>4 août 2006<br/>Transport de gaz</div>",https://www.legifrance.gouv.fr
2,"<div class=""loi"">Décret<br/>(modifié) n°2011-1241 du 5 octobre 2011<br/>Procédure DT/DICT</div>",https://www.legifrance.gouv.fr
3,"<div class=""loi"">Code de l'urbanisme<br/>L.123-1-5 IV 1°<br/>Sentes et itinéraires</div>",https://www.legifrance.gouv.fr
4,"<div class=""loi"">Code de l'urbanisme<br/>R. 111-2<br/></div>",https://www.legifrance.gouv.fr
5,"<div class=""loi"">Code de l'urbanisme<br/>R. 111-4<br/></div>",https://www.legifrance.gouv.fr
6,"<div class=""loi"">Code de l'urbanisme<br/>R. 111-5<br/></div>",https://www.legifrance.gouv.fr
7,"<div class=""loi"">Code de l'urbanisme<br/>R. 111-21<br/></div>",https://www.legifrance.gouv.fr
8,"<div class=""loi"">Code de l'urbanisme<br/>L. 111-10<br/>Périmètre des travaux publics</div>",https://www.legifrance.gouv.fr
9,"<div class=""loi"">Code de l'urbanisme<br/>L. 111-9<br/>Pérmètres de déclaration d'utilité publique</div>",https://www.legifrance.gouv.fr
10,"<div class=""loi"">Code de l'urbanisme<br/>L. 421-4<br/>Pérmètres de déclaration d'utilité publique</div>",https://www.legifrance.gouv.fr
11,"<div class=""loi"">Code de l'urbanisme<br/>L. 421-5<br/>Réalisation des réseaux</div>",https://www.legifrance.gouv.fr
12,"<div class=""loi"">Code de l'urbanisme<br/>L. 111-1-4<br/>Routes à grande circulation</div>",https://www.legifrance.gouv.fr
13,"<div class=""loi"">Arrêté<br/>21 août 2008<br/>Récupération des eaux de pluie et leur usage à l’intérieur et à l’extérieur des bâtiments</div>",https://www.legifrance.gouv.fr
14,"<div class=""loi"">Code de l'urbanisme<br/>L. 123-1-5 V<br/>Emplacements réservés aux voies et ouvrages publics, aux installations d'intérêt général et aux espaces verts</div>",https://www.legifrance.gouv.fr
15,"<div class=""loi"">Code de l'urbanisme<br/>L.123-1-5 III 2°<br/>Protection des alignements d'arbre et d'arbres remarquables</div>",https://www.legifrance.gouv.fr
16,"<div class=""loi"">Code de l'urbanisme<br/>R. 421-19<br/>Exploitation de carrières nécessitant des autorisations</div>",https://www.legifrance.gouv.fr
17,"<div class=""loi"">Code de l'urbanisme<br/>R. 421-23<br/>Exploitation de carrières nécessitant des autorisations</div>",https://www.legifrance.gouv.fr
18,"<div class=""loi"">Code de l'urbanisme<br/>L.123-1-5 II 5°<br/>Protection de la diversité commerciale et artisanale</div>",https://www.legifrance.gouv.fr
19,"<div class=""loi"">Code de l'urbanisme<br/>L.123-1-5 II 4°<br/>Obligation de logements sociaux</div>",https://www.legifrance.gouv.fr
20,"<div class=""loi"">Code civil<br/>Article 682<br/>Obtention de servitudes sur fond voisin</div>",https://www.legifrance.gouv.fr/affichCodeArticle.do?idArticle=LEGIARTI000006430276&cidTexte=LEGITEXT000006070721
21,"<div class=""loi"">Code de l'urbanisme<br/>L.130-1<br/>Dispositions relatives aux espaces boisés classés</div>",https://www.legifrance.gouv.fr
22,"<div class=""loi"">Code de l'urbanisme<br/>R.123-10-1<br/>Regroupement ou divisions de parcelles, lotissements</div>",https://www.legifrance.gouv.fr
23,"<div class=""loi"">Code de l'urbanisme<br/>R. 442-1-a<br/>Division primaire</div>",https://www.legifrance.gouv.fr
24,"<div class=""loi"">Code de l'urbanisme<br/>R. 431-24<br/>Permis de construire valant division</div>",https://www.legifrance.gouv.fr
25,"<div class=""loi"">Normes de dessertes et sécurité des véhicules et des services publics</div>",https://www.legifrance.gouv.fr
26,"<div class=""loi"">Prescriptions pour le raccordement aux réseaux collectifs</div>",https://www.legifrance.gouv.fr
27,"<div class=""loi"">CCH<br/>R.111-14-2</div>",https://www.legifrance.gouv.fr
28,"<div class=""loi"">CCH<br/>R.111-14-3</div>",https://www.legifrance.gouv.fr
29,"<div class=""loi"">Code de l'urbanisme<br/>L. 130-1</div>",https://www.legifrance.gouv.fr